ElementId,Category,FamilyAndType,Mark,LocationType,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
2034580,Curtain Panels,Glazed,,BBoxCenter,64.3718,-27.4723,11.7431,64.3718,-27.4723,64.3718,-27.4723,62.8378,-27.7149,65.9057,-27.2298
2034599,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,69.4187,-26.7028,11.2986,69.4187,-26.7028,69.4187,-26.7028,69.1850,-26.9365,69.4459,-26.4963
2034600,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,53.0599,-28.8565,11.2986,53.0599,-28.8565,53.0599,-28.8565,53.0327,-29.0630,53.2936,-28.6227
2034603,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,62.7264,-27.5839,11.2986,62.7264,-27.5839,62.7264,-27.5839,59.7248,-28.1820,62.7536,-27.3773
2034606,Curtain Wall Mullions,"2.5"" x 6.25"" rectangular",,Point,56.4886,-28.4051,11.2986,56.4886,-28.4051,56.4886,-28.4051,56.3459,-28.6356,56.6204,-28.0920
2034607,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,59.7520,-27.9754,11.4028,59.7520,-27.9754,59.7520,-27.9754,59.6216,-28.1956,59.8825,-27.7553
2034608,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,62.7264,-27.5839,11.4028,62.7264,-27.5839,62.7264,-27.5839,62.5959,-27.8040,62.8568,-27.3637
2034609,Curtain Wall Mullions,"2.5"" x 6.25"" rectangular",,Point,65.9900,-27.1542,11.2986,65.9900,-27.1542,65.9900,-27.1542,65.8473,-27.3847,66.1218,-26.8411
2034676,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,59.7520,-27.9754,11.2986,59.7520,-27.9754,59.7520,-27.9754,56.5647,-28.5980,59.7792,-27.7689
2034688,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,65.8867,-27.1678,11.2986,65.8867,-27.1678,65.8867,-27.1678,62.6992,-27.7904,65.9139,-26.9613
2034755,Generic Models,"10"" Trebuchet MS",,Point,58.9483,-28.2283,9.9932,58.9483,-28.2283,58.9483,-28.2283,58.9483,-28.3110,63.5790,-27.6201
2035476,Views,Block 37 - Existing to New,,BBoxCenter,-40.6587,-27.1894,9.5000,-40.6587,-27.1894,-40.6587,-27.1894,-43.7322,-38.5008,-37.5851,-15.8780
2035492,Views,Block 39 - Existing to New,,BBoxCenter,1.6018,-29.4576,9.5000,1.6018,-29.4576,1.6018,-29.4576,-1.4718,-39.5765,4.6753,-19.3387
2035510,Views,Block 41 - Existing to New,,BBoxCenter,27.5321,-30.4247,9.5000,27.5321,-30.4247,27.5321,-30.4247,24.4585,-42.0449,30.6056,-18.8045
2035758,Views,Block 43 - Existing to New,,BBoxCenter,64.0309,-27.0319,9.5000,64.0309,-27.0319,64.0309,-27.0319,61.0842,-38.4026,66.9777,-15.6612
2035775,Views,Block 35 - Solar Wall,,BBoxCenter,-77.0818,-9.3043,9.5000,-77.0818,-9.3043,-77.0818,-9.3043,-83.6390,-21.7109,-70.5245,3.1024
2067066,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,-15.1667,20.2344,8.0833,-15.1667,20.2344,-15.1667,20.2344,-15.4687,18.6146,-14.8646,21.5521
2067389,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,28.1797,13.0625,8.0833,28.1797,13.0625,28.1797,13.0625,23.1979,12.7604,33.2604,13.3646
2067725,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,-37.0130,-2.0625,8.0833,-37.0130,-2.0625,-37.0130,-2.0625,-42.0938,-2.3646,-32.2344,-1.7604
2075508,Wall Sweeps,Base_Simple,,BBoxCenter,-27.6276,20.9818,8.2604,-27.6276,20.9818,-27.6276,20.9818,-27.6510,20.6563,-27.6042,21.3073
2076994,Cameras,Camera - Unit 304 - Toward Core,,BBoxCenter,-45.1612,-10.7294,24.9434,-45.1612,-10.7294,-45.1612,-10.7294,-81.9902,-61.4945,-8.3323,40.0357
2079112,Columns,"24""D x 24""W",,Point,41.2500,41.4583,0.0000,41.2500,41.4583,41.2500,41.4583,40.2500,40.4583,42.2500,42.4583
2079140,Columns,"24""D x 24""W",,Point,23.9167,41.4583,0.0000,23.9167,41.4583,23.9167,41.4583,22.9167,40.4583,24.9167,42.4583
2079927,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,63.4327,0.8333,0.0000,63.4327,0.8333,63.4327,0.8333,63.2557,-1.8333,63.6098,3.5000
2079928,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,65.4237,3.3229,0.0000,65.4237,3.3229,65.4237,3.3229,63.4327,3.1458,67.4147,3.5000
2080024,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,65.7515,-1.6563,0.0000,65.7515,-1.6563,65.7515,-1.6563,63.4327,-1.8333,68.0702,-1.4792
2091697,Wall Sweeps,Base_Simple,,BBoxCenter,18.4870,17.9271,8.2604,18.4870,17.9271,18.4870,17.9271,17.3802,13.1667,19.5938,22.6875
2091698,Wall Sweeps,Base_Simple,,BBoxCenter,26.4271,13.8880,8.2604,26.4271,13.8880,26.4271,13.8880,17.3802,12.7135,35.4740,15.0625
2091699,Wall Sweeps,Base_Simple,,BBoxCenter,34.3672,17.9271,8.2604,34.3672,17.9271,34.3672,17.9271,33.2604,13.1667,35.4740,22.6875
2091700,Wall Sweeps,Base_Simple,,BBoxCenter,26.4271,22.6875,8.2604,26.4271,22.6875,26.4271,22.6875,17.3802,22.2344,35.4740,23.1406
2091701,Wall Sweeps,Base_Simple,,BBoxCenter,22.2188,21.1667,8.2604,22.2188,21.1667,22.2188,21.1667,20.1979,20.0729,24.2396,22.2604
2095175,Wall Sweeps,Base_Simple,,BBoxCenter,-35.2604,-2.9870,8.2604,-35.2604,-2.9870,-35.2604,-2.9870,-44.3073,-4.2604,-26.2135,-1.7135
2095176,Wall Sweeps,Base_Simple,,BBoxCenter,-27.3203,-7.1302,8.2604,-27.3203,-7.1302,-27.3203,-7.1302,-28.4271,-12.0937,-26.2135,-2.1667
2095177,Wall Sweeps,Base_Simple,,BBoxCenter,-43.2005,-6.9271,8.2604,-43.2005,-6.9271,-43.2005,-6.9271,-44.3073,-12.0937,-42.0938,-1.7604
2095180,Wall Sweeps,Base_Simple,,BBoxCenter,-29.0833,-11.2839,8.2604,-29.0833,-11.2839,-29.0833,-11.2839,-29.1354,-11.3073,-29.0313,-11.2604
2115580,Floors,Finish Floor - Laminate,,BBoxCenter,-30.0052,25.4531,7.8333,-30.0052,25.4531,-30.0052,25.4531,-39.3750,9.1563,-20.6354,41.7500
2115625,Floors,Finish Floor - Polished Concrete (Brown),,BBoxCenter,-34.7604,13.7344,7.8333,-34.7604,13.7344,-34.7604,13.7344,-39.3750,9.1563,-30.1458,18.3125
2115674,Floors,Finish Floor - Laminate,,BBoxCenter,-8.3333,25.4531,7.8333,-8.3333,25.4531,-8.3333,25.4531,-19.8646,9.1563,3.1979,41.7500
2115683,Floors,Finish Floor - Polished Concrete (Brown),,BBoxCenter,-10.1771,13.9115,7.8333,-10.1771,13.9115,-10.1771,13.9115,-15.1146,9.1563,-5.2396,18.6667
2115859,Floors,Finish Floor - Laminate,,BBoxCenter,22.4167,25.4531,7.8333,22.4167,25.4531,22.4167,25.4531,3.9688,9.1562,40.8646,41.7500
2115971,Floors,Finish Floor - Polished Concrete (Brown),,BBoxCenter,26.4271,17.5104,7.8333,26.4271,17.5104,26.4271,17.5104,20.1458,13.3125,32.7083,21.7083
2117477,Cameras,Coord - Arch Floors & Walls,,BBoxCenter,-46.4139,-75.5549,-6.1061,-46.4139,-75.5549,-46.4139,-75.5549,-115.2050,-132.8939,22.3771,-18.2159
2120094,Stairs,Stair,,BBoxCenter,-38.1146,46.1979,-2.9667,-38.1146,46.1979,-38.1146,46.1979,-44.1146,44.1979,-32.1146,48.1979
2121345,Views,Transverse Section - Stair 1,,BBoxCenter,-102.0245,11.1909,9.5000,-102.0245,11.1909,-102.0245,11.1909,-105.1025,-44.4184,-98.9465,66.8001
2121395,Views,Transverse Section - Elevator 1,,BBoxCenter,-96.0245,11.1909,9.5000,-96.0245,11.1909,-96.0245,11.1909,-99.1025,-44.4184,-92.9465,66.8001
2121412,Views,Transverse Section - Commercial - Grid 3,,BBoxCenter,-74.0245,11.1909,9.5000,-74.0245,11.1909,-74.0245,11.1909,-77.1025,-44.4184,-70.9465,66.8001
2121425,Views,Transverse Section - Commercial - Mezzanine Stair,,BBoxCenter,-52.0245,11.1909,9.5000,-52.0245,11.1909,-52.0245,11.1909,-55.1025,-44.4184,-48.9465,66.8001
2121440,Views,Transverse Section - Stair 2,,BBoxCenter,-42.5245,11.1909,9.5000,-42.5245,11.1909,-42.5245,11.1909,-45.6025,-44.4184,-39.4465,66.8001
2121736,Views,Transverse Section - Retail/Residential - Grid 5,,BBoxCenter,-24.5245,11.1909,9.5000,-24.5245,11.1909,-24.5245,11.1909,-27.6025,-44.4184,-21.4465,66.8001
2121835,Views,Transverse Section - Retail Lobby Stair,,BBoxCenter,-12.7745,11.1909,9.5000,-12.7745,11.1909,-12.7745,11.1909,-15.8525,-44.4184,-9.6965,66.8001
2121850,Views,Transverse Section - Elevator 2,,BBoxCenter,-0.0245,11.1909,9.5000,-0.0245,11.1909,-0.0245,11.1909,-3.1025,-44.4184,3.0535,66.8001
2121893,Views,Transverse Section - Retail/Residential - Grid 7,,BBoxCenter,13.4755,11.1909,9.5000,13.4755,11.1909,13.4755,11.1909,10.3975,-44.4184,16.5535,66.8001
2121925,Views,Transverse Section - Stair 3,,BBoxCenter,48.4755,11.1909,9.5000,48.4755,11.1909,48.4755,11.1909,45.3975,-44.4184,51.5535,66.8001
2121938,Views,Transverse Section - Retail/Residential - Grid 9,,BBoxCenter,57.4755,11.1909,9.5000,57.4755,11.1909,57.4755,11.1909,54.3975,-44.4184,60.5535,66.8001
2123753,Views,Transverse Section - Retail/Residential - Grid 8,,BBoxCenter,31.4755,11.1909,9.5000,31.4755,11.1909,31.4755,11.1909,28.3975,-44.4184,34.5535,66.8001
2140164,Columns,"24""D x 24""W",,Point,-70.0000,19.2083,0.0000,-70.0000,19.2083,-70.0000,19.2083,-71.0000,18.2604,-69.0000,20.2604
2140736,Floors,Finish Floor - Laminate,,BBoxCenter,-34.8594,-12.6656,7.8333,-34.8594,-12.6656,-34.8594,-12.6656,-49.0833,-27.6750,-20.6354,2.3438
2140751,Floors,Finish Floor - Polished Concrete (Brown),,BBoxCenter,-35.0104,-6.5104,7.8333,-35.0104,-6.5104,-35.0104,-6.5104,-41.5417,-10.7083,-28.4792,-2.3125
2140760,Cameras,Camera - Commercial Space L3,,BBoxCenter,-136.7890,-50.4461,37.7500,-136.7890,-50.4461,-136.7890,-50.4461,-221.4838,-141.4597,-52.0942,40.5675
2140770,Cameras,Camera - Commercial Space L4,,BBoxCenter,-136.7890,-50.4461,49.8333,-136.7890,-50.4461,-136.7890,-50.4461,-221.4838,-141.4597,-52.0942,40.5675
2144393,Walls,Soffit - Beam Wrap (Both Sides),,CurveMidpt,-80.3958,19.2083,5.5000,-80.3958,19.2083,-80.3958,19.2083,-89.7917,18.7708,-71.0000,19.6458
2144394,Walls,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,CurveMidpt,-95.4818,41.4388,5.5000,-95.4818,41.4388,-95.4818,41.4388,-99.3490,41.0013,-91.6146,41.7721
2144395,Walls,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,CurveMidpt,-80.3958,41.4388,5.5000,-80.3958,41.4388,-80.3958,41.4388,-89.9687,41.0013,-70.8229,41.7721
2144396,Walls,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,CurveMidpt,-64.0521,41.4388,5.5000,-64.0521,41.4388,-64.0521,41.4388,-69.1771,41.0013,-58.9271,41.7721
2144397,Walls,Soffit - Beam Wrap (Both Sides),,CurveMidpt,-59.7135,19.2083,5.5000,-59.7135,19.2083,-59.7135,19.2083,-69.0000,18.7708,-50.4271,19.6458
2144398,Walls,Soffit - Beam Wrap (Both Sides),,CurveMidpt,-95.6432,19.2083,5.5000,-95.6432,19.2083,-95.6432,19.2083,-99.4948,18.8750,-91.7917,19.6458
2177792,Rooms,Mezzanine Dining 200,,Point,-74.9567,26.7680,8.0833,-74.9567,26.7680,-74.9567,26.7680,-99.3646,18.7708,-57.6667,41.6979
2184042,Generic Models,"10"" Trebuchet MS",,Point,-8.7505,-31.5083,11.6229,-8.7505,-31.5083,-8.7505,-31.5083,-13.0971,-31.5916,-4.4039,-31.5083
2224497,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,-29.8958,15.9688,8.0833,-29.8958,15.9688,-29.8958,15.9688,-30.1979,13.3750,-29.5938,18.5625
2224950,Wall Sweeps,Base_Simple,,BBoxCenter,-28.5078,17.4922,8.2604,-28.5078,17.4922,-28.5078,17.4922,-29.8646,13.6771,-27.1510,21.3073
2225755,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,-28.6484,13.3750,8.0833,-28.6484,13.3750,-28.6484,13.3750,-29.8958,13.0729,-27.1979,13.6771
2225756,Wall Sweeps,Base_Simple,,BBoxCenter,-28.3958,11.1667,8.2604,-28.3958,11.1667,-28.3958,11.1667,-29.5938,9.2604,-27.1979,13.0729
2233274,Columns,"24""D x 24""W",,Point,-70.0000,41.4583,-0.0000,-70.0000,41.4583,-70.0000,41.4583,-71.0000,40.4583,-69.0000,42.4583
2233722,Columns,"24""D x 24""W",,Point,-70.0000,41.4583,-0.0000,-70.0000,41.4583,-70.0000,41.4583,-71.0000,40.4583,-69.0000,42.4583
2233773,Columns,"24""D x 24""W",,Point,-90.7917,41.4583,0.0000,-90.7917,41.4583,-90.7917,41.4583,-91.7917,40.4583,-89.7917,42.4583
2233774,Columns,"24""D x 24""W",,Point,-90.7917,41.4583,0.0000,-90.7917,41.4583,-90.7917,41.4583,-91.7917,40.4583,-89.7917,42.4583
2234674,Runs,"3/4"" Nosing",,BBoxCenter,-38.1146,46.1979,-2.7208,-38.1146,46.1979,-38.1146,46.1979,-44.1146,44.1979,-32.1146,48.1979
2235181,Railings,_IBC-Pipe-Plate Stringer (Extension Top and Bottom),,BBoxCenter,-37.1146,44.4583,3.0833,-37.1146,44.4583,-37.1146,44.4583,-44.1146,44.3021,-30.1146,44.6146
