ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
1244066,Walls,"Core - Concrete 12""",,CurveMidpt,,-100.1250,42.7370,-5.9167,-100.1250,42.7370,-100.1250,42.7370,-100.6250,41.6979,-99.6250,43.2500
1245348,Walls,"Core - Concrete 12""",,CurveMidpt,,-49.2500,27.3542,-3.4583,-49.2500,27.3542,-49.2500,27.3542,-49.7500,18.4844,-48.7500,36.2240
1247377,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-57.7656,28.3073,-5.9167,-57.7656,28.3073,-57.7656,28.3073,-57.9688,20.1875,-57.5625,36.2240
1247474,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-61.5078,20.3906,-5.9167,-61.5078,20.3906,-61.5078,20.3906,-65.5521,20.1875,-57.6146,20.5938
1247521,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-61.5078,28.1302,-5.9167,-61.5078,28.1302,-61.5078,28.1302,-65.2500,27.9271,-57.7656,28.3333
1247720,Doors,"36"" x 84""",101C,Point,90.0000,-57.7656,25.9896,-5.9167,-57.7656,25.9896,-57.7656,25.9896,-60.9688,24.3229,-57.5208,27.6563
1247789,Doors,"36"" x 84""",101B,Point,270.0000,-57.7656,30.2708,-5.9167,-57.7656,30.2708,-57.7656,30.2708,-60.9688,28.6042,-57.5208,31.9375
1248166,Specialty Equipment,Grab Bar,,Point,270.0000,-64.9688,20.5938,-5.9167,-64.9688,20.5938,-64.9688,20.5938,-64.9688,20.5938,-60.2188,24.3438
1248448,Plumbing Fixtures,"19"" Seat Height",6,Point,270.0000,-65.2500,22.0938,-5.3333,-65.2500,22.0938,-65.2500,22.0938,-64.9479,21.2604,-62.5313,22.9271
1248519,Plumbing Fixtures,"22"" x 27""",7,Point,270.0000,-65.2500,26.5104,-4.5321,-65.2500,26.5104,-65.2500,26.5104,-64.9479,25.5938,-61.8326,27.4271
1248617,Specialty Equipment,"28"" x 48""",,Point,270.0000,-65.2500,26.5104,-2.4167,-65.2500,26.5104,-65.2500,26.5104,-64.9479,25.3438,-63.6505,27.6771
1248771,Plumbing Fixtures,Floor Drain-2D,9,Point,180.0000,-61.1979,24.0938,-3.4583,-61.1979,24.0938,-61.1979,24.0938,-61.4563,23.8438,-60.9479,24.3438
1248926,Specialty Equipment,Grab Bar,,Point,90.0000,-64.9688,35.6667,-5.9167,-64.9688,35.6667,-64.9688,35.6667,-64.9688,31.9167,-60.2188,35.6667
1248927,Plumbing Fixtures,"19"" Seat Height",10,Point,90.0000,-65.2500,34.1667,-5.3333,-65.2500,34.1667,-65.2500,34.1667,-64.9479,33.3333,-62.5313,35.0000
1248928,Plumbing Fixtures,"22"" x 27""",11,Point,90.0000,-65.2500,29.7500,-4.5321,-65.2500,29.7500,-65.2500,29.7500,-64.9479,28.8333,-61.8326,30.6667
1248929,Specialty Equipment,"28"" x 48""",,Point,90.0000,-65.2500,29.7500,-2.4167,-65.2500,29.7500,-65.2500,29.7500,-64.9479,28.5833,-63.6505,30.9167
1248934,Plumbing Fixtures,Floor Drain-2D,12,Point,180.0000,-61.1979,32.1667,-3.4583,-61.1979,32.1667,-61.1979,32.1667,-61.4563,31.9167,-60.9479,32.4167
1250036,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-56.0833,33.3802,-5.9167,-56.0833,33.3802,-56.0833,33.3802,-57.7656,33.1771,-54.4010,33.5833
1250146,Doors,"26"" x 84""",101A,Point,360.0000,-56.1250,33.3802,-5.9167,-56.1250,33.3802,-56.1250,33.3802,-57.3750,31.0104,-54.8750,33.6250
1257762,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-95.3021,18.6875,-5.9167,-95.3021,18.6875,-95.3021,18.6875,-100.1250,18.2604,-90.4063,19.1146
1257796,Doors,"36"" x 84"" (90 MIN)",S11B,Point,180.0000,-95.7604,18.6875,-5.6667,-95.7604,18.6875,-95.7604,18.6875,-97.4271,15.2604,-94.0938,19.1563
1258318,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-90.4792,13.8802,-5.9167,-90.4792,13.8802,-90.4792,13.8802,-90.9063,8.6458,-90.0521,19.1146
