ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
786593,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,31.6406,15.9635,8.0833,31.6406,15.9635,31.6406,15.9635,30.3229,15.7604,32.9583,16.1667
786595,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,18.6120,12.9635,8.0833,18.6120,12.9635,18.6120,12.9635,17.4271,12.7604,20.0000,13.1667
786598,Doors,"36"" x 84"" (Cores)",205A,Point,180.0000,25.5677,13.0625,8.0833,25.5677,13.0625,25.5677,13.0625,23.9010,12.7187,27.2344,16.3646
786784,Doors,"36"" x 84"" (60 MIN)",202B,Point,180.0000,-29.1563,2.4948,8.0833,-29.1563,2.4948,-29.1563,2.4948,-30.8229,-0.7604,-27.4896,2.7917
786853,Doors,"36"" x 84"" (60 MIN)",205B,Point,360.0000,21.7500,9.0052,8.0833,21.7500,9.0052,21.7500,9.0052,20.0833,8.7083,23.4167,12.2604
796396,Walls,"Interior - 8 1/2"" Partition (2-hr)",,CurveMidpt,,51.0313,5.6901,8.0833,51.0313,5.6901,51.0313,5.6901,50.6771,2.3750,51.3854,9.0052
797941,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,,-29.8958,11.1901,8.0833,-29.8958,11.1901,-29.8958,11.1901,-30.1979,9.0052,-29.5938,13.3750
798132,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,,-33.6380,18.5625,8.0833,-33.6380,18.5625,-33.6380,18.5625,-39.8750,18.2604,-27.1979,18.8646
798133,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-27.4010,19.9115,8.0833,-27.4010,19.9115,-27.4010,19.9115,-27.6042,18.5625,-27.1979,21.2604
800030,Doors,"36"" x 84"" (Cores)",203B,Point,90.0000,-29.8958,16.3229,8.0833,-29.8958,16.3229,-29.8958,16.3229,-33.1979,14.6563,-29.5521,17.9896
800260,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-37.7917,15.4635,8.0833,-37.7917,15.4635,-37.7917,15.4635,-39.4688,15.2604,-36.1146,15.6667
800261,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-37.7917,12.0573,8.0833,-37.7917,12.0573,-37.7917,12.0573,-39.4688,11.8542,-36.1146,12.2604
805013,Doors,"36"" x 84"" (60 MIN)",203A,Point,360.0000,-23.8438,9.0052,8.0833,-23.8438,9.0052,-23.8438,9.0052,-25.5104,8.7083,-22.1771,12.2604
807787,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-15.2656,16.2318,8.0833,-15.2656,16.2318,-15.2656,16.2318,-15.4687,13.5469,-15.0625,18.9167
808244,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,,-13.6979,11.2760,8.0833,-13.6979,11.2760,-13.6979,11.2760,-14.0000,9.0052,-13.3958,13.7500
808252,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-14.7552,13.5469,8.0833,-14.7552,13.5469,-14.7552,13.5469,-16.0625,13.3438,-13.6979,13.7500
809458,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,,-10.7552,18.9167,8.0833,-10.7552,18.9167,-10.7552,18.9167,-15.1667,18.6146,-6.3437,19.2188
809470,Doors,"36"" x 84"" (Cores)",204B,Point,90.0000,-15.2656,16.6979,8.0833,-15.2656,16.6979,-15.2656,16.6979,-15.5104,15.0313,-12.0625,18.3646
809636,Walls,"Interior - 8 1/2"" Partition (2-hr)",,CurveMidpt,,-4.9896,13.8750,8.0833,-4.9896,13.8750,-4.9896,13.8750,-5.3437,8.7500,-4.6354,18.7448
809639,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,-6.6198,15.4115,8.0833,-6.6198,15.4115,-6.6198,15.4115,-8.2500,15.2083,-4.9896,15.6146
826267,Windows,"50"" x 60""",119,Point,,-34.7604,42.2240,11.5417,-34.7604,42.2240,-34.7604,42.2240,-37.0729,41.5938,-32.4479,43.6123
826274,Windows,"50"" x 60""",120,Point,,-26.4271,42.2240,11.5417,-26.4271,42.2240,-26.4271,42.2240,-28.7396,41.5938,-24.1146,43.6123
826288,Windows,"50"" x 60""",122,Point,,-9.7604,42.2240,11.5417,-9.7604,42.2240,-9.7604,42.2240,-12.0729,41.5938,-7.4479,43.6123
826309,Windows,"50"" x 60""",125,Point,,36.0729,42.2240,11.5417,36.0729,42.2240,36.0729,42.2240,33.7604,41.5938,38.3854,43.6123
826316,Windows,"50"" x 60""",126,Point,,-1.4271,42.2240,11.5417,-1.4271,42.2240,-1.4271,42.2240,-3.7396,41.5938,0.8854,43.6123
826323,Windows,"50"" x 60""",127,Point,,27.7396,42.2240,11.5417,27.7396,42.2240,27.7396,42.2240,25.4271,41.5938,30.0521,43.6123
831926,Walls,"Interior - 4 7/8"" Partition (NR)",,CurveMidpt,,47.8073,6.0052,8.0833,47.8073,6.0052,47.8073,6.0052,47.6042,3.0052,48.0104,9.0052
831927,Doors,"36"" x 84""",201B,Point,90.0000,47.8073,6.8125,8.0833,47.8073,6.8125,47.8073,6.8125,44.6042,5.1458,48.0521,8.4792
836408,Windows,"50"" x 80""",138,Point,,-79.0833,42.2240,9.0000,-79.0833,42.2240,-79.0833,42.2240,-81.3958,41.5938,-76.7708,43.2287
836429,Windows,"50"" x 80""",141,Point,,-85.7083,42.2240,9.0000,-85.7083,42.2240,-85.7083,42.2240,-88.0208,41.5938,-83.3958,43.2287
881710,Doors,"36"" x 84"" (180 MIN)",S22B,Point,360.0000,-42.5417,19.2083,8.0833,-42.5417,19.2083,-42.5417,19.2083,-44.2083,18.6667,-40.8125,22.6250
881716,Walls,"Core - Concrete 12""",,CurveMidpt,,-49.2500,39.7370,-3.4583,-49.2500,39.7370,-49.2500,39.7370,-49.7500,36.2240,-48.7500,43.7500
881724,Walls,"Core - Concrete 12""",,CurveMidpt,,-39.8750,30.7083,8.0833,-39.8750,30.7083,-39.8750,30.7083,-40.3750,19.2083,-39.3750,42.2083
881927,Floors,Stair Landing Steel Plate,,BBoxCenter,,-44.5625,23.0521,8.0729,-44.5625,23.0521,-44.5625,23.0521,-48.7292,19.7292,-40.3958,26.3750
881948,Stairs,Stair,,BBoxCenter,,-44.5625,34.0417,2.4327,-44.5625,34.0417,-44.5625,34.0417,-48.7500,25.0417,-40.3750,43.0417
882136,Stairs,Stair,,BBoxCenter,,-44.5625,34.1146,13.4583,-44.5625,34.1146,-44.5625,34.1146,-48.7500,26.2708,-40.3750,41.9583
882800,Walls,"Core - Concrete 12""",,CurveMidpt,,-44.8776,19.2083,-3.4583,-44.8776,19.2083,-44.8776,19.2083,-49.8802,18.7083,-39.3750,19.7083
882827,Stairs,Stair,,BBoxCenter,,-44.5625,33.3646,-10.0618,-44.5625,33.3646,-44.5625,33.3646,-48.7500,24.9792,-40.3750,41.7500
887288,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,6.3776,13.5417,-3.4583,6.3776,13.5417,6.3776,13.5417,3.5833,13.2865,9.4271,13.7969
887308,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,9.1719,18.5000,-3.4583,9.1719,18.5000,9.1719,18.5000,8.9167,13.5417,9.4271,23.7135
887778,Doors,"36"" x 84"" (45 MIN)",201A,Point,270.0000,3.5833,16.0417,8.0833,3.5833,16.0417,3.5833,16.0417,3.0521,14.3125,6.9896,17.7083
