ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
619404,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,43.2500,-5.9167,-105.5625,43.2500,-105.5625,43.2500,-111.5000,42.7500,-99.6250,43.7500
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,CurveMidpt,,67.4207,3.2773,0.0000,67.4207,3.2773,67.4207,3.2773,63.1901,-24.9650,71.6514,31.5195
621689,Multistory Stairs,Multistory Stairs,,BBoxCenter,,-104.8125,33.6979,32.4167,-104.8125,33.6979,-104.8125,33.6979,-109.5000,25.1875,-100.1250,42.2083
621690,Stairs,Stair,,BBoxCenter,,-104.8125,33.6979,32.1667,-104.8125,33.6979,-104.8125,33.6979,-109.0000,25.6875,-100.6250,41.7083
630930,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,,-109.1771,31.2292,-16.9167,-109.1771,31.2292,-109.1771,31.2292,-109.3542,19.2083,-109.0000,43.2500
631587,Doors,"36"" x 84"" (180 MIN)",S14,Point,270.0000,-100.1250,21.8750,32.1667,-100.1250,21.8750,-100.1250,21.8750,-103.5417,20.1458,-99.5833,23.5417
660429,Doors,"36"" x 84"" (180 MIN)",S34,Point,180.0000,43.8927,2.3750,32.1667,43.8927,2.3750,43.8927,2.3750,42.1635,-1.0417,45.5594,2.9167
674522,Walls,"Core - Concrete 12""",,CurveMidpt,,-100.1250,30.7161,-5.9167,-100.1250,30.7161,-100.1250,30.7161,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,19.2083,-5.9167,-105.5625,19.2083,-105.5625,19.2083,-111.5000,18.7083,-100.1250,19.7083
678407,Walls,"Core - Concrete 10""",,CurveMidpt,,3.5000,23.7370,-3.4583,3.5000,23.7370,3.5000,23.7370,3.0833,18.8750,3.9167,28.1823
685081,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,-20.2500,25.6146,8.0833,-20.2500,25.6146,-20.2500,25.6146,-20.7396,9.0052,-19.7604,42.2240
697693,Walls,"Core - Concrete 12""",,CurveMidpt,,-111.0000,31.2292,-5.9167,-111.0000,31.2292,-111.0000,31.2292,-111.5000,19.2083,-110.5000,43.2500
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-74.9375,42.2240,-5.9167,-74.9375,42.2240,-74.9375,42.2240,-100.1250,41.6979,-49.7500,42.7500
698311,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,69.7611,-14.4993,45.5000,69.7611,-14.4993,69.7611,-14.4993,67.9265,-24.8861,71.6514,-4.4572
701089,Multistory Stairs,Multistory Stairs,,BBoxCenter,,45.9375,-11.7813,32.4167,45.9375,-11.7813,45.9375,-11.7813,41.2500,-20.1250,50.6250,-3.4375
701090,Stairs,Stair,,BBoxCenter,,45.9375,-11.7813,32.1667,45.9375,-11.7813,45.9375,-11.7813,41.7500,-19.6250,50.1250,-3.9375
734799,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,3.5833,35.1563,8.0833,3.5833,35.1563,3.5833,35.1563,3.0938,28.0885,4.0729,42.2240
735382,Walls,"Core - Concrete 10""",,CurveMidpt,,-1.3568,19.2917,-3.4583,-1.3568,19.2917,-1.3568,19.2917,-6.2135,18.8750,3.5000,19.7083
748363,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,41.2500,25.6146,8.0833,41.2500,25.6146,41.2500,25.6146,40.7604,9.0052,41.7396,42.2240
748858,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,-20.2500,-12.5234,8.0833,-20.2500,-12.5234,-20.2500,-12.5234,-20.7396,-27.5417,-19.7604,2.9375
748873,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,3.5833,-13.6510,8.0833,3.5833,-13.6510,3.5833,-13.6510,3.0938,-30.0729,4.0729,2.9323
748897,Walls,"Core - Concrete 12""",,CurveMidpt,,41.2500,-8.8750,18.8333,41.2500,-8.8750,41.2500,-8.8750,40.7500,-20.1250,41.7500,2.3750
750321,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,-22.2448,9.0052,32.1667,-22.2448,9.0052,-22.2448,9.0052,-39.8229,8.7500,-4.5417,9.2604
750840,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,-4.4505,2.4948,32.1667,-4.4505,2.4948,-4.4505,2.4948,-49.5208,2.2396,40.6198,2.7500
750841,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,59.3895,2.4948,32.1667,59.3895,2.4948,59.3895,2.4948,51.2552,2.2396,67.5237,2.7500
751090,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,56.1896,5.7500,32.1667,56.1896,5.7500,56.1896,5.7500,55.9344,2.4948,56.4448,9.0052
