900,2100,962,2114,RoomTag,1.00,
1250,1857,1262,1865,RoomTag,1.00,
2018,1914,2112,1946,RoomTag,1.00,
3158,2109,3164,2020,RoomTag,1.00,
3659,1661,3754,1692,RoomTag,1.00,
3404,3624,3499,3652,RoomTag,1.00,
4531,1647,4625,1676,RoomTag,1.00,
4800,2100,4815,2096,RoomTag,1.00,
4677,2709,4773,2737,RoomTag,1.00,
5700,1650,5798,1679,RoomTag,1.00,
4500,3200,4625,3224,RoomTag,1.00,
6577,2935,6618,2932,RoomTag,1.00,
1250,1230,1289,1246,WindowTag,1.00,
1620,1230,1661,1246,WindowTag,1.00,
1868,1230,1905,1246,WindowTag,1.00,
2086,1230,2123,1246,WindowTag,1.00,
3532,1220,3531,1271,WindowTag,1.00,
3846,1220,3863,1235,WindowTag,1.00,
4470,1220,4513,1235,WindowTag,1.00,
4784,1220,4787,1235,WindowTag,1.00,
5879,1220,5917,1235,WindowTag,1.00,
6192,1220,6234,1235,WindowTag,1.00,
3150,3871,3181,3887,WindowTag,1.00,
3393,3871,3426,3887,WindowTag,1.00,
3637,3871,3675,3887,WindowTag,1.00,
3882,3871,3868,3881,WindowTag,1.00,
4381,3871,4418,3887,WindowTag,1.00,
4524,3871,4563,3887,WindowTag,1.00,
4669,3871,4713,3887,WindowTag,1.00,
3100,1265,3169,1365,DoorTag,1.00,
3238,2167,3283,2233,DoorTag,1.00,
3353,2715,3283,2630,DoorTag,1.00,
3533,2967,3596,2925,DoorTag,1.00,
3737,2794,3856,2845,DoorTag,1.00,
3932,2552,3988,2596,DoorTag,1.00,
3712,2280,3768,2304,DoorTag,1.00,
4169,2561,4229,2596,DoorTag,1.00,
4259,2263,4213,2279,DoorTag,1.00,
4963,2289,4915,2315,DoorTag,1.00,
5250,1300,5273,1252,DoorTag,1.00,
5788,2400,5826,2445,DoorTag,1.00,
5647,2554,5707,2596,DoorTag,1.00,
6490,2792,6488,2754,DoorTag,1.00,
6634,2636,6677,2644,DoorTag,1.00,
778,1722,814,1830,WallTag,1.00,
1261,2150,1299,2132,WallTag,1.00,
1478,2367,1514,2404,WallTag,1.00,
2584,1353,2577,1397,WallTag,1.00,
2781,1437,2819,1475,WallTag,1.00,
3000,2250,3039,2291,WallTag,1.00,
3150,2500,3188,2539,WallTag,1.00,
3389,2675,3426,2714,WallTag,1.00,
3400,1755,3437,1793,WallTag,1.00,
3000,3200,3041,3238,WallTag,1.00,
3520,3977,3558,4029,WallTag,1.00,
4118,3363,4170,3482,WallTag,1.00,
4111,1930,4149,1968,WallTag,1.00,
4685,2368,4723,2406,WallTag,1.00,
5012,2375,5049,2469,WallTag,1.00,
5005,1567,5043,1605,WallTag,1.00,
5005,3408,5041,3448,WallTag,1.00,
5647,2836,5682,2877,WallTag,1.00,
5219,2475,5255,2502,WallTag,1.00,
5867,2513,5923,2503,WallTag,1.00,
6450,1606,6490,1657,WallTag,1.00,
6417,1929,6454,1965,WallTag,1.00,
6593,2663,6584,2731,WallTag,1.00,
6715,2683,6808,2720,WallTag,1.00,
6376,3361,6586,3425,WallTag,1.00,
7293,2733,7170,2840,WallTag,1.00,
