900,2100,961,2117,RoomTag
1250,1857,1276,1683,RoomTag
2018,1914,2111,1943,RoomTag
3158,2109,3169,2019,RoomTag
3659,1661,3754,1689,RoomTag
3404,3624,3499,3654,RoomTag
4531,1647,4626,1676,RoomTag
4800,2100,4813,2096,RoomTag
4677,2709,4772,2739,RoomTag
5700,1650,5796,1679,RoomTag
2016,630,1954,698,RoomTag
6577,2935,6621,2930,RoomTag
1250,1230,1285,1246,WindowTag
1620,1230,1655,1246,WindowTag
1868,1230,1906,1246,WindowTag
2086,1230,2124,1246,WindowTag
3532,1220,3672,1177,WindowTag
3846,1220,3866,1234,WindowTag
4470,1220,4507,1235,WindowTag
4784,1220,4786,1233,WindowTag
5879,1220,5913,1235,WindowTag
6192,1220,6228,1234,WindowTag
3150,3871,3187,3887,WindowTag
3393,3871,3429,3887,WindowTag
3637,3871,3677,3887,WindowTag
3882,3871,3948,3884,WindowTag
4381,3871,4421,3886,WindowTag
4524,3871,4568,3887,WindowTag
4669,3871,4701,3887,WindowTag
3100,1265,3157,1365,DoorTag
3238,2167,3281,2231,DoorTag
3353,2715,3359,2732,DoorTag
3533,2967,3540,3016,DoorTag
3737,2794,3629,2840,DoorTag
3932,2552,3984,2401,DoorTag
3712,2280,3772,2303,DoorTag
4169,2561,4226,2596,DoorTag
4259,2263,4213,2284,DoorTag
4963,2289,4915,2303,DoorTag
5250,1300,5274,1254,DoorTag
5788,2400,5953,2454,DoorTag
5647,2554,5541,2511,DoorTag
6490,2792,6548,2742,DoorTag
6634,2636,6677,2646,DoorTag
778,1722,816,1472,WallTag
1261,2150,1468,2070,WallTag
1478,2367,1516,2405,WallTag
2584,1353,2577,1389,WallTag
2781,1437,2817,1475,WallTag
3000,2250,3038,2289,WallTag
3150,2500,3187,2538,WallTag
3389,2675,3454,2715,WallTag
3400,1755,3438,1795,WallTag
3000,3200,3038,3240,WallTag
3520,3977,3562,4029,WallTag
4118,3363,4172,3484,WallTag
4111,1930,4149,1967,WallTag
4685,2368,4724,2405,WallTag
5012,2375,4912,2419,WallTag
5005,1567,5043,1606,WallTag
5005,3408,5044,3449,WallTag
5647,2836,5687,2879,WallTag
5219,2475,5256,2503,WallTag
5867,2513,5857,2502,WallTag
6450,1606,6484,1657,WallTag
6417,1929,6454,1968,WallTag
6593,2663,6475,2633,WallTag
6715,2683,6808,2637,WallTag
6376,3361,6472,3306,WallTag
7293,2733,7171,2838,WallTag
