=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,FacingAngle_deg,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
619340,Walls,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,180.0000,-110.9323,9.2701,10.0833,-111.5000,-0.1681,-110.3646,18.7083
619404,Walls,"Core - Concrete 12""",,90.0000,-105.5625,43.2500,7.5833,-111.5000,42.7500,-99.6250,43.7500
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,7.5000,67.4207,3.2773,10.0833,63.1901,-24.9650,71.6514,31.5195
621689,Multistory Stairs,Multistory Stairs,,,-104.8125,33.6979,6.7083,-109.5000,25.1875,-100.1250,42.2083
622037,Stairs,Stair,,,-104.8125,33.6979,1.2092,-109.0000,25.6875,-100.6250,41.7083
622384,Stairs,Stair,,,-104.8125,33.6979,13.4583,-109.0000,25.6875,-100.6250,41.7083
630930,Walls,"Chase - GWB & Metal Stud 4 1/4""",,180.0000,-109.1771,31.2292,10.0833,-109.3542,19.2083,-109.0000,43.2500
660428,Doors,"36"" x 84"" (180 MIN)",S32,180.0000,43.8615,0.9375,11.7500,42.1635,-1.0417,45.5594,2.9167
674522,Walls,"Core - Concrete 12""",,-0.0000,-100.1250,30.4661,7.5833,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,-90.0000,-105.8125,19.2083,10.0833,-111.5000,18.7083,-100.1250,19.7083
678407,Walls,"Core - Concrete 10""",,-0.0000,3.5000,23.5286,10.0833,3.0833,18.8750,3.9167,28.1823
684173,Walls,"Core - Concrete 12""",,-0.0000,50.6250,-11.8750,10.0833,50.1250,-26.1250,51.1250,2.3750
685081,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,-20.2500,25.6146,10.0833,-20.7396,9.0052,-19.7604,42.2240
686974,Walls,"Chase - GWB & Metal Stud 6 5/8""",,-82.5000,42.3083,-30.1770,10.0833,41.2414,-30.5911,43.3753,-29.7628
687063,Walls,"Core - Concrete 12""",,-90.0000,45.9375,-26.1250,10.0833,40.7500,-26.6250,51.1250,-25.6250
687200,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,-0.0000,43.1514,-28.0979,10.0833,42.9274,-30.0707,43.3753,-26.1250
695423,Stairs,Stair,,,43.6042,-8.9792,4.2272,41.7500,-14.9375,45.4583,-3.0208
697096,Walls,"Exterior - 14 5/8"" Rainscreen w Insultation on Metal Stud",,180.0000,-49.6406,-8.4583,7.5833,-50.2500,-26.4167,-49.0312,9.5000
697693,Walls,"Core - Concrete 12""",,180.0000,-111.0000,31.2292,10.0833,-111.5000,19.2083,-110.5000,43.2500
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,90.0000,-74.9375,42.2240,7.5833,-100.1250,41.6979,-49.7500,42.7500
700016,Stairs,Stair,,,45.9375,-11.7813,13.4583,41.7500,-19.6250,50.1250,-3.9375
701089,Multistory Stairs,Multistory Stairs,,,45.9375,-11.7813,13.7083,41.2500,-20.1250,50.6250,-3.4375
734799,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,3.5833,35.1563,10.0833,3.0938,28.0885,4.0729,42.2240
735382,Walls,"Core - Concrete 10""",,-90.0000,-1.3568,19.2917,10.0833,-6.2135,18.8750,3.5000,19.7083
735544,Walls,"Interior - 6 1/8"" Partition (2-hr)",,180.0000,-90.3073,22.1484,-0.4583,-90.5625,19.0885,-90.0521,25.2083
736143,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,90.0000,-57.4010,36.2240,-0.4583,-65.5521,35.6979,-49.2500,36.7500
737373,Walls,"Interior - 7 1/4"" Partition (1 hr)",,180.0000,-65.2500,28.3073,-0.4583,-65.5521,20.3906,-64.9479,36.2240
738934,Walls,"Interior - 4 7/8"" Partition (1-hr)",,90.0000,-80.2865,25.2448,-0.4583,-90.4583,25.0417,-70.1146,25.4479
739021,Walls,"Interior - 4 7/8"" Partition (1-hr)",,180.0000,-70.3177,27.0964,-0.4583,-70.5208,25.2448,-70.1146,28.9479
739059,Walls,"Interior - 4 7/8"" Partition (1-hr)",,90.0000,-67.7839,28.7448,-0.4583,-70.3177,28.5417,-65.2500,28.9479
746421,Stairs,Stair,,,-15.0937,-4.6458,13.4583,-19.0937,-11.1042,-11.0937,1.8125
748363,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,41.2500,25.6146,10.0833,40.7604,9.0052,41.7396,42.2240
748511,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-90.0000,-22.4062,9.0052,10.0833,-39.8229,8.7500,-4.9896,9.2604
748731,Walls,"Interior - 6 1/8"" Partition (2-hr)",,90.0000,21.6068,2.4948,10.0833,3.0938,2.2396,40.1198,2.7500
748796,Walls,"Interior - 6 1/8"" Partition (2-hr)",,90.0000,-34.7005,2.4948,10.0833,-49.6406,2.2396,-19.7604,2.7500
748858,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,-20.2500,-12.5234,10.0833,-20.7396,-27.5417,-19.7604,2.4948
748873,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,3.5833,-13.7891,10.0833,3.0938,-30.0729,4.0729,2.4948
751237,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-90.0000,27.4844,9.0052,10.0833,3.5833,8.7500,51.3854,9.2604
756614,Walls,"Core - Concrete 10""",,90.0000,-1.0833,27.5417,10.0833,-6.0833,27.1250,3.9167,27.9583
