=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,FacingAngle_deg,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
756775,Walls,"Core - Concrete 10""",,180.0000,-5.6667,23.0964,10.0833,-6.0833,18.6510,-5.2500,27.5417
756965,Walls,"Core - Concrete 10""",,-0.0000,-90.8750,29.9583,7.5833,-91.2917,25.6250,-90.4583,34.2917
757097,Walls,"Core - Concrete 10""",,90.0000,-95.5000,33.8750,7.5833,-100.1250,33.4583,-90.8750,34.2917
757247,Walls,"Core - Concrete 10""",,-90.0000,-95.2917,25.6250,7.5833,-100.1250,25.2083,-90.4583,26.0417
785946,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-43.0260,-1.9635,10.0833,-44.2604,-2.1667,-41.7917,-1.7604
785947,Walls,"Interior - 7 1/4"" Partition (NR)",,180.0000,-41.7917,-7.0781,10.0833,-42.0938,-12.0937,-41.4896,-2.0625
785948,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,-30.4818,-11.0573,10.0833,-32.2344,-11.2604,-28.7292,-10.8542
785949,Walls,"Interior - 4 7/8"" Partition (NR)",,0.0000,-28.6302,-3.3151,10.0833,-28.8333,-4.6667,-28.4271,-1.9635
785950,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-43.0260,-11.8906,10.0833,-44.2604,-12.0937,-41.7917,-11.6875
785952,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-30.4323,-4.4635,10.0833,-32.2344,-4.6667,-28.6302,-4.2604
785953,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-27.4948,-11.8906,10.0833,-28.7292,-12.0937,-26.2604,-11.6875
785954,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,-32.2344,-9.9635,10.0833,-32.4375,-10.9583,-32.0313,-8.9687
785955,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-40.4740,-5.0365,10.0833,-41.7917,-5.2396,-39.1563,-4.8333
785957,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-27.5469,-1.9635,10.0833,-28.8333,-2.1667,-26.2604,-1.7604
785960,Doors,"36"" x 84"" (Cores)",202A,,-34.3750,-3.5417,11.6667,-36.0417,-5.3646,-32.7083,-1.7187
786584,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,34.1927,12.9635,10.0833,32.9583,12.7604,35.4271,13.1667
786585,Walls,"Interior - 7 1/4"" Partition (NR)",,-0.0000,32.9583,18.0781,10.0833,32.6562,13.0625,33.2604,23.0937
786586,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,22.2708,22.0573,10.0833,19.8958,21.8542,24.6458,22.2604
786587,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,19.7969,14.2161,10.0833,19.5938,12.9635,20.0000,15.4688
786588,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,34.1927,22.8906,10.0833,32.9583,22.6875,35.4271,23.0937
786589,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,23.4010,14.2656,10.0833,23.1979,13.0625,23.6042,15.4688
786590,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,21.5990,15.2656,10.0833,19.7969,15.0625,23.4010,15.4688
786591,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,18.6615,22.8906,10.0833,17.4271,22.6875,19.8958,23.0938
786592,Walls,"Chase - GWB & Metal Stud 2 1/4""",,-0.0000,23.2917,19.2760,10.0833,23.1979,18.4792,23.3854,20.0729
786593,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,31.6406,15.9635,10.0833,30.3229,15.7604,32.9583,16.1667
786595,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,18.7135,12.9635,10.0833,17.4271,12.7604,20.0000,13.1667
786598,Doors,"36"" x 84"" (Cores)",205A,180.0000,25.5677,14.5417,11.6667,23.9010,12.7187,27.2344,16.3646
786784,Doors,"36"" x 84"" (60 MIN)",202B,180.0000,-29.1563,1.0156,11.6667,-30.8229,-0.7604,-27.4896,2.7917
786853,Doors,"36"" x 84"" (60 MIN)",205B,360.0000,21.7500,10.4844,11.6667,20.0833,8.7083,23.4167,12.2604
796396,Walls,"Interior - 8 1/2"" Partition (2-hr)",,180.0000,51.0313,5.6901,10.0833,50.6771,2.3750,51.3854,9.0052
797941,Walls,"Interior - 7 1/4"" Partition (NR)",,180.0000,-29.8958,11.1901,10.0833,-30.1979,9.0052,-29.5938,13.3750
798132,Walls,"Interior - 7 1/4"" Partition (NR)",,90.0000,-33.5365,18.5625,10.0833,-39.8750,18.2604,-27.1979,18.8646
798133,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,-27.4010,19.9115,10.0833,-27.6042,18.5625,-27.1979,21.2604
800030,Doors,"36"" x 84"" (Cores)",203B,90.0000,-31.3750,16.3229,11.6667,-33.1979,14.6563,-29.5521,17.9896
800260,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,-37.7917,15.4635,10.0833,-39.4688,15.2604,-36.1146,15.6667
800261,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-37.7917,12.0573,10.0833,-39.4688,11.8542,-36.1146,12.2604
805013,Doors,"36"" x 84"" (60 MIN)",203A,360.0000,-23.8438,10.4844,11.6667,-25.5104,8.7083,-22.1771,12.2604
807787,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,-15.2656,16.2318,10.0833,-15.4687,13.5469,-15.0625,18.9167
808244,Walls,"Interior - 7 1/4"" Partition (NR)",,-0.0000,-13.6979,11.3776,10.0833,-14.0000,9.0052,-13.3958,13.7500
808252,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,-14.8802,13.5469,10.0833,-16.0625,13.3438,-13.6979,13.7500
809458,Walls,"Interior - 7 1/4"" Partition (NR)",,90.0000,-10.7552,18.9167,10.0833,-15.1667,18.6146,-6.3437,19.2188
809470,Doors,"36"" x 84"" (Cores)",204B,90.0000,-13.7865,16.6979,11.6667,-15.5104,15.0313,-12.0625,18.3646
809636,Walls,"Interior - 8 1/2"" Partition (2-hr)",,180.0000,-4.9896,13.7474,10.0833,-5.3437,8.7500,-4.6354,18.7448
809639,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-6.6198,15.4115,10.0833,-8.2500,15.2083,-4.9896,15.6146
826267,Windows,"50"" x 60""",119,,-34.7604,42.6030,14.0053,-37.0729,41.5938,-32.4479,43.6123
826274,Windows,"50"" x 60""",120,,-26.4271,42.6030,14.0053,-28.7396,41.5938,-24.1146,43.6123
826288,Windows,"50"" x 60""",122,,-9.7604,42.6030,14.0053,-12.0729,41.5938,-7.4479,43.6123
826309,Windows,"50"" x 60""",125,,36.0729,42.6030,14.0053,33.7604,41.5938,38.3854,43.6123
826316,Windows,"50"" x 60""",126,,-1.4271,42.6030,14.0053,-3.7396,41.5938,0.8854,43.6123
826323,Windows,"50"" x 60""",127,,27.7396,42.6030,14.0053,25.4271,41.5938,30.0521,43.6123
826376,Rooms,Stair S1,,,-104.8125,30.7292,3.5833,-109.0000,19.7083,-100.6250,41.7500
826593,Rooms,Stair S3,,,45.9375,-8.8750,10.5833,41.7500,-19.6250,50.1250,1.8750
826600,Rooms,Stair S2,,,-44.5625,31.2292,4.8125,-48.7500,19.7083,-40.3750,42.7500
826702,Rooms,Elevator E1,,,-95.4583,29.7500,-1.9167,-99.6250,26.0417,-91.2917,33.4583
826708,Rooms,Elevator E2,,,-1.0833,23.4167,4.8125,-5.2500,19.7083,3.0833,27.1250
828508,Rooms,Café 101,,,-70.3281,22.5990,3.5833,-90.0521,9.5000,-50.6042,35.6979
828518,Rooms,Outdoor Covered Dining 103,,,-70.1146,0.3646,3.5833,-90.4792,-7.9167,-49.7500,8.6458
828521,Rooms,Pocket Park 104,,,-80.6250,-5.4573,3.5833,-111.5000,-29.1750,-49.7500,18.2604
828537,Rooms,Residential Lobby 106,,,-8.3333,-13.1875,6.3125,-19.7604,-28.3542,3.0938,1.9792
828548,Rooms,Commercial/Retail 108,,,22.2865,5.0599,6.5417,3.8021,-30.4219,40.7708,40.5417
828551,Rooms,Commercial/Retail 109,,,56.1569,6.4207,6.5417,41.7396,-28.8565,70.5743,41.6979
829648,Rooms,Corridor 201,,,4.1198,10.5573,10.5833,-39.3646,2.5000,47.6042,18.6146
829709,Rooms,Live/Work Unit 202,,,-34.8854,-12.6823,10.5833,-49.0312,-27.6042,-20.7396,2.2396
829712,Rooms,Studio Unit 203,,,-29.9271,25.4792,10.5833,-39.1146,9.2604,-20.7396,41.6979
829715,Rooms,Two Story Studio Unit 204,,,-8.3333,25.4792,10.5833,-19.7604,9.2604,3.0938,41.6979
829718,Rooms,Live/Work Unit 205,,,22.4167,25.4792,10.5833,4.0729,9.2604,40.7604,41.6979
831926,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,47.8073,6.0052,10.0833,47.6042,3.0052,48.0104,9.0052
831927,Doors,"36"" x 84""",201B,90.0000,46.3281,6.8125,11.6667,44.6042,5.1458,48.0521,8.4792
836408,Windows,"50"" x 80""",138,,-79.0833,42.4112,12.2969,-81.3958,41.5938,-76.7708,43.2287
836429,Windows,"50"" x 80""",141,,-85.7083,42.4112,12.2969,-88.0208,41.5938,-83.3958,43.2287
881710,Doors,"36"" x 84"" (180 MIN)",S22B,360.0000,-42.5104,20.6458,11.7500,-44.2083,18.6667,-40.8125,22.6250
881716,Walls,"Core - Concrete 12""",,180.0000,-49.2500,39.9870,7.5833,-49.7500,36.2240,-48.7500,43.7500
881724,Walls,"Core - Concrete 12""",,-0.0000,-39.8750,30.7083,10.0833,-40.3750,19.2083,-39.3750,42.2083
881948,Stairs,Stair,,,-44.5625,34.0417,2.4327,-48.7500,25.0417,-40.3750,43.0417
882136,Stairs,Stair,,,-44.5625,34.1146,13.4583,-48.7500,26.2708,-40.3750,41.9583
882249,Multistory Stairs,Multistory Stairs,,,-44.5625,34.1146,13.7083,-49.2500,25.7708,-39.8750,42.4583
882800,Walls,"Core - Concrete 12""",,-90.0000,-44.6276,19.2083,10.0833,-49.8802,18.7083,-39.3750,19.7083
882827,Stairs,Stair,,,-44.5625,33.3646,-10.0618,-48.7500,24.9792,-40.3750,41.7500
887288,Walls,"Interior - 6 1/8"" Partition (2-hr)",,90.0000,6.5052,13.5417,10.0833,3.5833,13.2865,9.4271,13.7969
887308,Walls,"Interior - 6 1/8"" Partition (2-hr)",,180.0000,9.1719,18.6276,10.0833,8.9167,13.5417,9.4271,23.7135
887778,Doors,"36"" x 84"" (45 MIN)",201A,270.0000,5.0208,16.0104,11.7500,3.0521,14.3125,6.9896,17.7083
887939,Walls,"Interior - 6 1/8"" Partition (2-hr)",,90.0000,6.5443,20.2083,10.0833,3.9167,19.9531,9.1719,20.4635
888013,Walls,"Interior - 6 1/8"" Partition (2-hr)",,90.0000,6.3359,23.4583,10.0833,3.5000,23.2031,9.1719,23.7135
900615,Walls,"Interior - 8 1/2"" Partition (2-hr)",,180.0000,-39.4688,13.7917,10.0833,-39.8229,9.0052,-39.1146,18.5781
900745,Walls,"Interior - 4 7/8"" Partition (NR)",,-0.0000,-45.6094,10.5365,10.0833,-45.8125,2.4948,-45.4063,18.5781
900781,Walls,"Interior - 4 7/8"" Partition (NR)",,-90.0000,-47.6250,8.9531,10.0833,-49.6406,8.7500,-45.6094,9.1563
946544,Walls,Glazing Wall - Stair,,-90.0000,-104.8333,43.2500,30.0417,-108.0208,42.7500,-101.6458,43.7500
1024619,Walls,"Exterior - 9 7/8"" EIFS on Mtl. Stud",,-90.0000,-35.2500,-28.5864,8.3333,-47.2500,-28.9979,-23.2500,-28.1750
1047581,Walls,"Core - Concrete 12""",,90.0000,-44.5625,43.2500,6.0417,-49.2500,42.7500,-39.8750,43.7500
1048451,Walls,Glazing Wall - Stair,,-90.0000,-44.5833,43.2500,30.0417,-47.7708,42.7500,-41.3958,43.7500
1048452,Doors,Door-Curtain-Wall-Single-Storefront,S22A,,-46.0625,44.7188,4.0000,-47.5625,43.1458,-44.5625,46.2917
1135969,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-78.7812,35.6198,-0.4583,-86.7812,35.4167,-70.7812,35.8229
1184003,Walls,"Chase - GWB & Metal Stud 6 5/8""",,-90.0000,22.9471,-30.3281,10.0833,4.5833,-30.6042,41.3108,-30.0521
1206137,Doors,"36"" x 84"" (60 MIN)",204A,180.0000,-17.8229,10.4844,11.6667,-19.4896,8.7083,-16.1563,12.2604
1207539,Stairs,Stair,,,-16.8333,31.1255,13.4583,-19.8333,28.1255,-13.8333,34.1255
1226933,Walls,"Core - Concrete 12""",,180.0000,41.2500,-11.8750,10.0833,40.7500,-26.1250,41.7500,2.3750
1235583,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,3.5833,13.7474,10.0833,3.0938,8.7500,4.0729,18.7448
1240635,Stairs,Stair,,,-54.1354,30.2083,-0.1432,-57.6667,20.7500,-50.6042,39.6667
1244066,Walls,"Core - Concrete 12""",,0.0000,-100.1250,42.4740,7.5833,-100.6250,41.6979,-99.6250,43.2500
1245348,Walls,"Core - Concrete 12""",,180.0000,-49.2500,27.3542,7.5833,-49.7500,18.4844,-48.7500,36.2240
1247377,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,-57.7656,28.2057,-0.4583,-57.9688,20.1875,-57.5625,36.2240
1247474,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-61.6589,20.3906,-0.4583,-65.5521,20.1875,-57.7656,20.5938
1247521,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-61.5078,28.1302,-0.4583,-65.2500,27.9271,-57.7656,28.3333
1257762,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,-90.0000,-95.3021,18.6875,7.5833,-100.1250,18.2604,-90.4792,19.1146
1258318,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,180.0000,-90.4792,13.8802,7.5833,-90.9063,8.6458,-90.0521,19.1146
1263584,Windows,"50"" x 80""",182,,-95.7500,42.4112,12.2969,-98.0625,41.5938,-93.4375,43.2287
1263678,Walls,"Chase - GWB & Metal Stud 4 1/4""",,0.0000,-50.4271,24.8411,6.2083,-50.6042,9.6615,-50.2500,40.0208
1263784,Walls,"Core - Concrete 12""",,180.0000,-49.2500,30.3464,10.0833,-49.7500,18.4844,-48.7500,42.2083
1267596,Windows,"50"" x 80""",183,,-73.2917,42.4112,12.2969,-75.6042,41.5938,-70.9792,43.2287
1272069,Walls,Block 37 Pilaster,,-180.0000,-50.2708,-27.7125,10.0833,-50.6042,-28.6750,-49.9375,-26.7500
1272219,Walls,Block 37 Pilaster,,-90.0000,-50.1771,-28.6750,10.0833,-50.6042,-29.0083,-49.7500,-28.3416
1279689,Walls,"Interior - 7 1/4"" Partition (NR)",,0.0000,-28.7292,-8.2786,10.0833,-29.0313,-12.0937,-28.4271,-4.4635
1280871,Walls,"Interior - 7 1/4"" Partition (NR)",,180.0000,19.8958,19.1797,10.0833,19.5938,15.2656,20.1979,23.0938
1286004,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,24.4427,21.0182,10.0833,24.2396,19.9792,24.6458,22.0573
1286298,Walls,"Chase - GWB & Metal Stud 2 1/4""",,90.0000,23.9219,18.5729,10.0833,23.2917,18.4792,24.5521,18.6667
1288369,Walls,"Chase - GWB & Metal Stud 2 1/4""",,-90.0000,23.9688,19.9792,10.0833,23.2917,19.8854,24.6458,20.0729
1288370,Walls,"Chase - GWB & Metal Stud 2 1/4""",,180.0000,24.5521,19.2292,10.0833,24.4583,18.4792,24.6458,19.9792
1288371,Walls,"Interior - 7 1/4"" Partition (NR)",,90.0000,21.5938,19.7708,10.0833,19.8958,19.4687,23.2917,20.0729
1290416,Doors,"32"" x 84""",205OPN,360.0000,22.2188,22.0573,11.5833,20.8854,21.8542,23.5521,22.2604
1297743,Walls,"Core - Concrete 12""",,180.0000,-49.2500,42.9792,10.0833,-49.7500,42.2083,-48.7500,43.7500
1297976,Walls,"Core - Concrete 12""",,-0.0000,-39.8750,42.9792,10.0833,-40.3750,42.2083,-39.3750,43.7500
1299174,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,41.2604,-28.3385,10.0833,40.7708,-30.0521,41.7500,-26.6250
1299759,Walls,"Core - Concrete 12""",,90.0000,45.9375,2.3750,10.0833,40.7500,1.8750,51.1250,2.8750
1300087,Walls,"Core - Concrete 12""",,-90.0000,45.8125,-20.1250,10.0833,41.0000,-20.6250,50.6250,-19.6250
1300707,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-0.0000,40.1198,-12.6198,10.0833,39.9896,-28.3750,40.2500,3.1354
1300836,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,-90.0000,-105.2135,18.4844,7.5833,-110.9323,18.2604,-99.4948,18.7083
1302653,Walls,"Chase - GWB & Metal Stud 4 1/4""",,90.0000,-54.6771,39.8438,7.5833,-58.9271,39.6667,-50.4271,40.0208
1302690,Walls,"Chase - GWB & Metal Stud 4 1/4""",,0.0000,-58.9271,40.9453,7.5833,-59.1042,39.6667,-58.7500,42.2240
1302970,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-90.0000,-94.8646,34.4219,8.7917,-99.6250,34.2917,-90.1042,34.5521
1302972,Walls,"Chase - GWB & Metal Stud 6 5/8""",,-180.0000,-99.3490,38.3229,8.7917,-99.6250,34.4219,-99.0729,42.2240
1302973,Walls,"Chase - GWB & Metal Stud 3 1/8""",,90.0000,-94.8646,25.0781,8.7917,-99.6250,24.9479,-90.1042,25.2083
1303281,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-180.0000,-90.2812,29.7500,8.7917,-90.4583,25.0781,-90.1042,34.4219
1303290,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-180.0000,-99.4948,21.8932,8.7917,-99.6250,18.7083,-99.3646,25.0781
1304481,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-90.0000,-94.8646,34.4688,-0.4583,-99.6250,34.2917,-90.1042,34.6458
1304482,Walls,"Chase - GWB & Metal Stud 6 5/8""",,-180.0000,-99.3490,38.3464,-0.4583,-99.6250,34.4688,-99.0729,42.2240
1304483,Walls,"Chase - GWB & Metal Stud 3 1/8""",,90.0000,-94.9661,25.0781,-0.4583,-99.6250,24.9479,-90.3073,25.2083
1304484,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-180.0000,-90.2812,29.8568,-0.4583,-90.4583,25.2448,-90.1042,34.4688
1304485,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-180.0000,-99.4948,21.9193,-0.4583,-99.6250,18.7604,-99.3646,25.0781
1305280,Walls,Block 37 Pilaster,,90.0000,-50.1771,-26.7500,10.0833,-50.6042,-27.0833,-49.7500,-26.4167
1309342,Walls,"Interior - 5 1/2"" Partition (1-hr Smoke)",,-0.0000,-39.5938,5.7500,10.0833,-39.8229,2.4948,-39.3646,9.0052
1309343,Doors,"36"" x 84"" (20 MIN)",201C,270.0000,-41.0729,4.6875,11.6667,-42.8229,3.0208,-39.3229,6.3542
1309514,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-90.0000,-1.0833,28.0885,10.0833,-6.3437,27.9583,4.1771,28.2188
1309515,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-0.0000,-6.2135,23.3516,10.0833,-6.3437,18.6146,-6.0833,28.0885
1309516,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-180.0000,4.0469,25.7734,10.0833,3.9167,23.4583,4.1771,28.0885
1309518,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-180.0000,51.2552,-11.9870,10.0833,51.1250,-26.8490,51.3854,2.8750
1309519,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-180.0000,-39.2448,30.3359,10.0833,-39.3750,18.4479,-39.1146,42.2240
1309520,Walls,"Chase - GWB & Metal Stud 3 1/8""",,90.0000,-1.0703,18.7448,10.0833,-6.2135,18.6146,4.0729,18.8750
1309521,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-90.0000,45.5755,3.0052,10.0833,40.1198,2.8750,51.0313,3.1354
1309522,Walls,"Chase - GWB & Metal Stud 3 1/8""",,90.0000,-44.5625,18.5781,10.0833,-49.8802,18.4479,-39.2448,18.7083
1309523,Walls,"Furring - GWB & Channels 1 7/8""",,180.0000,3.9948,19.4766,10.0833,3.9167,18.7448,4.0729,20.2083
1319646,Walls,"Interior - 7 1/4"" Partition (NR)",,90.0000,28.7005,21.9583,10.0833,24.4427,21.6562,32.9583,22.2604
1342183,Walls,"Chase - GWB & Metal Stud 3 1/8""",,90.0000,-48.8895,18.0781,10.0833,-49.5208,17.9479,-48.2582,18.2083
1342227,Walls,"Chase - GWB & Metal Stud 3 1/8""",,180.0000,-48.3884,18.3281,10.0833,-48.5186,18.0781,-48.2582,18.5781
1343128,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,-49.5208,14.3542,7.5833,-50.0104,9.5000,-49.0312,19.2083
1362233,Walls,"Chase - GWB & Metal Stud 3 1/8""",,180.0000,4.4531,-29.1292,10.0833,4.3229,-30.0916,4.5833,-28.1667
1380272,Walls,"Interior - 4 7/8"" Partition (NR)",,-0.0000,9.2240,11.1458,10.0833,9.0208,9.0052,9.4271,13.2865
1390768,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,49.4635,34.2057,5.0417,49.2604,26.1875,49.6667,42.2240
1390769,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,45.3568,26.3906,5.0417,41.2500,26.1875,49.4635,26.5938
1390770,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,45.7734,34.1302,5.0417,42.0833,33.9271,49.4635,34.3333
1391115,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-180.0000,42.0833,34.2057,10.0833,41.9063,26.1875,42.2604,42.2240
1433522,Doors,"32"" x 84""",202OPN,180.0000,-30.5313,-11.0573,11.5833,-31.8646,-11.2604,-29.1979,-10.8542
1433602,Walls,"Interior - 7 1/4"" Partition (NR)",,-90.0000,-36.9115,-10.9583,10.0833,-41.7917,-11.2604,-32.0313,-10.6562
